Gw Messstellen HE;ID;Kurzname;x;y;EPSG;Beobachtungsbeginn;geländehöhe_m_NN;messpunkthöhe_m_NN;FIOK_m_unter_GOK;FIUK_m_unter_Gok;Comment
NETRA;6253;410003;576394;5661012;25832;;;;;;
KOMBACH;6645;433006;468878;5636201;25832;;;;;;
LEIHGESTERN;7824;460031;476156;5597300;25832;;;;;;
LETTGENBRUNN;10319;509010;532008;556106;25832;;;;;;
NAUHEIM (alt);11781;527169;463173;5534297;25832;;;;;;
DIEBURG;12117;527064;487879;5528084;25832;;;;;;
KAILBACH;14293;545004;508241;5485704;25832;;;;;;
SCHÖLLENBACH;14297;545003;505304;5491022;25832;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
